A日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/5/2,チキンカレー,米,70,239,4.3,0.6,1
2022/5/2,チキンカレー,麦,10,33,0.7,0.2,0
2022/5/2,チキンカレー,油,0.3,3,0,0.3,0
2022/5/2,チキンカレー,酒,1,1,0,0,0
2022/5/2,チキンカレー,水,,0,0,0,0
2022/5/2,チキンカレー,鶏肉,50,81,9.5,5.1,26
2022/5/2,チキンカレー,人参,15,4,0.1,0,5
2022/5/2,チキンカレー,じゃがいも,40,21,0.6,0,0
2022/5/2,チキンカレー,玉ねぎ,50,16,0.5,0,1
2022/5/2,チキンカレー,にんにく,0.2,0,0,0,0
2022/5/2,チキンカレー,しょうが,0.5,0,0,0,0
2022/5/2,チキンカレー,油,1,9,0,1,0
2022/5/2,チキンカレー,油,6,53,0,6,0
2022/5/2,チキンカレー,小麦粉,6,21,0.5,0.1,0
2022/5/2,チキンカレー,カレー粉,1,3,0.1,0.1,0
2022/5/2,チキンカレー,濃縮スープ（チキン）,2,0,0.1,0,2
2022/5/2,チキンカレー,塩,0.75,0,0,0,293
2022/5/2,チキンカレー,トマトケチャップ,2,2,0,0,24
2022/5/2,チキンカレー,ウスターソース,2.5,3,0,0,83
2022/5/2,チキンカレー,しょうゆ,1.6,1,0.1,0,91
2022/5/2,チキンカレー,ベイリーフ,0.02,0,0,0,0
2022/5/2,チキンカレー,水,70～80,0,0,0,0
2022/5/2,牛乳,牛乳,206,126,6.8,7.8,84
2022/5/2,キャベツのサラダ,キャベツ,30,5,0.3,0.1,1
2022/5/2,キャベツのサラダ,ホールコーン,10,8,0.2,0.1,21
2022/5/2,キャベツのサラダ,小松菜,10,1,0.2,0,2
2022/5/2,キャベツのサラダ,しょうゆ,1.1,1,0.1,0,63
2022/5/2,キャベツのサラダ,塩,0.09,0,0,0,35
2022/5/2,キャベツのサラダ,酢,0.6,0,0,0,0
2022/5/2,キャベツのサラダ,ごま油,0.7,6,0,0.7,0
2022/5/6,ひじきごはん,米,62,212,3.8,0.6,1
2022/5/6,ひじきごはん,麦,8,27,0.6,0.2,0
2022/5/6,ひじきごはん,酒,0.8,1,0,0,0
2022/5/6,ひじきごはん,水,2,0,0,0,0
2022/5/6,ひじきごはん,豚肉,15,27,3,1.8,7
2022/5/6,ひじきごはん,人参,10,3,0.1,0,3
2022/5/6,ひじきごはん,ひじき,1,2,0.1,0,18
2022/5/6,ひじきごはん,冷凍油揚げ,6,25,1.4,2.1,0
2022/5/6,ひじきごはん,さとう,2.2,9,0,0,0
