D日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/7/1,ガパオライス,米,70,239,4.3,0.6,1
2022/7/1,ガパオライス,麦,10,33,0.7,0.2,0
2022/7/1,ガパオライス,油,0.3,3,0,0.3,0
2022/7/1,ガパオライス,酒,1,1,0,0,0
2022/7/1,ガパオライス,水,,0,0,0,0
2022/7/1,ガパオライス,豚ひき肉,45,82,9,5.3,22
2022/7/1,ガパオライス,大豆ミート,5,18,2.3,0.2,0
2022/7/1,ガパオライス,玉ねぎ,30,9,0.3,0,1
2022/7/1,ガパオライス,ピーマン,5,1,0,0,0
2022/7/1,ガパオライス,にんにく,0.5,1,0,0,0
2022/7/1,ガパオライス,油,1,9,0,1,0
2022/7/1,ガパオライス,しょうゆ,3,2,0.2,0,171
2022/7/1,ガパオライス,オイスターソース,1.5,2,0.1,0,68
2022/7/1,ガパオライス,酒,0.5,1,0,0,0
2022/7/1,ガパオライス,みりん,0.5,1,0,0,0
2022/7/1,ガパオライス,さとう,0.3,1,0,0,0
2022/7/1,ガパオライス,豆板醤,0.2,0,0,0,14
2022/7/1,ガパオライス,塩,0.3,0,0,0,117
2022/7/1,ガパオライス,こしょう,0.01,0,0,0,0
2022/7/1,ガパオライス,乾燥バジル,0.06,0,0,0,0
2022/7/1,牛乳,牛乳,206,126,6.8,7.8,84
2022/7/1,春雨サラダ,緑豆春雨,5,17,0,0,1
2022/7/1,春雨サラダ,人参,5,1,0,0,2
2022/7/1,春雨サラダ,キャベツ,30,5,0.3,0.1,1
2022/7/1,春雨サラダ,小松菜,10,1,0.2,0,2
2022/7/1,春雨サラダ,さとう,0.5,2,0,0,0
2022/7/1,春雨サラダ,しょうゆ,2.5,2,0.2,0,143
2022/7/1,春雨サラダ,酢,3,2,0,0,0
2022/7/1,春雨サラダ,ごま油,0.5,4,0,0.5,0
2022/7/1,春雨サラダ,からし粉,0.1,0,0,0,0
2022/7/1,春雨サラダ,サラダ油,2,18,0,2,0
2022/7/1,ヨーグルト,ヨーグルト（鉄）,80,68,2.3,1.1,31
2022/7/4,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2022/7/4,牛乳,牛乳,206,126,6.8,7.8,84
2022/7/4,あじのたつた揚げ,あじ,35,39,6.9,1.6,46
2022/7/4,あじのたつた揚げ,しょうゆ,1.7,1,0.1,0,97
2022/7/4,あじのたつた揚げ,しょうが,0.5,0,0,0,0
2022/7/4,あじのたつた揚げ,酒,0.8,1,0,0,0
2022/7/4,あじのたつた揚げ,片栗粉,9,30,0,0,0
2022/7/4,あじのたつた揚げ,油,35,21,0,2.4,0
2022/7/4,ごまみそあえ,もやし,40,6,0.7,0,1
2022/7/4,ごまみそあえ,人参,5,1,0,0,2
2022/7/4,ごまみそあえ,キャベツ,20,4,0.2,0,1
2022/7/4,ごまみそあえ,白ごま,1.6,10,0.3,1,0
2022/7/4,ごまみそあえ,さとう,1.7,7,0,0,0
2022/7/4,ごまみそあえ,白みそ,2,4,0.3,0.1,98
2022/7/4,ごまみそあえ,しょうゆ,1,1,0.1,0,57
2022/7/4,すましそうめん,そうめん,7,23,0.7,0.1,16
2022/7/4,すましそうめん,鶏肉,5,8,1,0.5,3
2022/7/4,すましそうめん,人参,8,2,0.1,0,2
2022/7/4,すましそうめん,ほうれん草,15,3,0.4,0,17
2022/7/4,すましそうめん,干し椎茸,0.3,1,0.1,0,0
2022/7/4,すましそうめん,しょうが,0.3,0,0,0,0
2022/7/4,すましそうめん,塩,0.9,0,0,0,351
2022/7/4,すましそうめん,しょうゆ,0.6,0,0,0,34
2022/7/4,すましそうめん,かつお節,1.5,0,0,0,0
2022/7/4,すましそうめん,水,130～140,0,0,0,0
2022/7/5,食パン,食パン,60,249,8.3,4.6,421
2022/7/5,牛乳,牛乳,206,126,6.8,7.8,84
2022/7/5,ポークビーンズ,豚ひき肉,20,36,4,2.3,10
2022/7/5,ポークビーンズ,大豆,17,63,5.7,3.3,0
2022/7/5,ポークビーンズ,人参,15,4,0.1,0,5
2022/7/5,ポークビーンズ,玉ねぎ,50,16,0.5,0,1
2022/7/5,ポークビーンズ,にんにく,0.1,0,0,0,0
2022/7/5,ポークビーンズ,油,0.7,6,0,0.7,0
2022/7/5,ポークビーンズ,ダイストマト,35,7,0.3,0.1,1
2022/7/5,ポークビーンズ,シェルマカロニ,10,35,1.3,0.2,0
2022/7/5,ポークビーンズ,小麦粉,2,7,0.2,0,0
2022/7/5,ポークビーンズ,トマトケチャップ,3,3,0,0,36
2022/7/5,ポークビーンズ,中濃ソース,2.5,3,0,0,58
2022/7/5,ポークビーンズ,しょうゆ,1,1,0.1,0,57
2022/7/5,ポークビーンズ,赤ワイン,1.5,1,0,0,0
2022/7/5,ポークビーンズ,塩,0.5,0,0,0,195
2022/7/5,ポークビーンズ,こしょう,0.02,0,0,0,0
2022/7/5,ポークビーンズ,チリパウダー,0.25,1,0,0,6
2022/7/5,ポークビーンズ,乾燥パセリ,0.03,0,0,0,0
2022/7/5,ポークビーンズ,水,10,0,0,0,0
2022/7/5,いろどりスープ,ベーコン,2,8,0.3,0.8,16
2022/7/5,いろどりスープ,人参,5,1,0,0,2
2022/7/5,いろどりスープ,キャベツ,15,3,0.2,0,1
2022/7/5,いろどりスープ,小松菜,10,1,0.2,0,2
2022/7/5,いろどりスープ,ホールコーン,10,8,0.2,0.1,21
2022/7/5,いろどりスープ,わかめ,0.3,1,0.1,0,11
2022/7/5,いろどりスープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2022/7/5,いろどりスープ,しょうゆ,1,1,0.1,0,57
2022/7/5,いろどりスープ,塩,0.9,0,0,0,351
2022/7/5,いろどりスープ,片栗粉,1.5,5,0,0,0
2022/7/5,いろどりスープ,水,120～130,0,0,0,0
2022/7/6,ソース焼きそば,蒸し麺,45,164,5,1.5,144
2022/7/6,ソース焼きそば,豚肉,30,55,6,3.5,15
2022/7/6,ソース焼きそば,人参,10,3,0.1,0,3
2022/7/6,ソース焼きそば,玉ねぎ,30,9,0.3,0,1
2022/7/6,ソース焼きそば,もやし,20,3,0.3,0,0
2022/7/6,ソース焼きそば,キャベツ,50,9,0.6,0.1,2
2022/7/6,ソース焼きそば,油,2,18,0,2,0
2022/7/6,ソース焼きそば,塩,0.6,0,0,0,234
2022/7/6,ソース焼きそば,こしょう,0.04,0,0,0,0
2022/7/6,ソース焼きそば,ウスターソース,3.5,4,0,0,116
2022/7/6,ソース焼きそば,中濃ソース,3.5,5,0,0,81
2022/7/6,牛乳,牛乳,206,126,6.8,7.8,84
2022/7/6,揚げ大豆,大豆（ボイル）,30,49,4.4,2.9,0
2022/7/6,揚げ大豆,片栗粉,3,10,0,0,0
2022/7/6,揚げ大豆,油,35,21,0,2.4,0
2022/7/6,揚げ大豆,塩,0.13,0,0,0,51
2022/7/6,七夕フルーツ,米粉マカロニ,7,27,0.4,0.1,0
2022/7/6,七夕フルーツ,みかん缶,20,13,0.1,0,1
2022/7/6,七夕フルーツ,りんご缶,25,20,0.1,0,1
2022/7/6,七夕フルーツ,みかんダイスゼリー,15,14,0,0,14
2022/7/6,七夕フルーツ,かんづめの汁,30,19,0.1,0,1
2022/7/7,麦ごはん,米,70,239,4.3,0.6,1
2022/7/7,麦ごはん,麦,10,33,0.7,0.2,0
2022/7/7,麦ごはん,油,0.3,3,0,0.3,0
2022/7/7,麦ごはん,酒,1,1,0,0,0
2022/7/7,麦ごはん,水,,0,0,0,0
2022/7/7,牛乳,牛乳,206,126,6.8,7.8,84
2022/7/7,豚肉のキムチ炒め,豚肉,60,109,12,7,29
2022/7/7,豚肉のキムチ炒め,玉ねぎ,30,9,0.3,0,1
2022/7/7,豚肉のキムチ炒め,人参,10,3,0.1,0,3
2022/7/7,豚肉のキムチ炒め,しょうが,0.5,0,0,0,0
2022/7/7,豚肉のキムチ炒め,にんにく,0.2,0,0,0,0
2022/7/7,豚肉のキムチ炒め,油,1,9,0,1,0
2022/7/7,豚肉のキムチ炒め,にら,5,1,0.1,0,0
2022/7/7,豚肉のキムチ炒め,白菜キムチ,15,6,0.3,0,348
2022/7/7,豚肉のキムチ炒め,トック,15,35,0.6,0.1,18
2022/7/7,豚肉のキムチ炒め,しょうゆ,1.2,1,0.1,0,68
2022/7/7,豚肉のキムチ炒め,酒,1,1,0,0,0
2022/7/7,豚肉のキムチ炒め,さとう,1,4,0,0,0
2022/7/7,豚肉のキムチ炒め,塩,0.1,0,0,0,39
2022/7/7,豚肉のキムチ炒め,こしょう,0.01,0,0,0,0
2022/7/7,豚肉のキムチ炒め,オイスターソース,0.4,0,0,0,18
2022/7/7,豚肉のキムチ炒め,片栗粉,0.6,2,0,0,0
2022/7/7,豚肉のキムチ炒め,水,,0,0,0,0
2022/7/7,おひたし,キャベツ,45,8,0.5,0.1,2
2022/7/7,おひたし,人参,5,1,0,0,2
2022/7/7,おひたし,小松菜,15,2,0.2,0,2
2022/7/7,おひたし,しょうゆ,2.8,2,0.2,0,160
2022/7/8,夏野菜のカレー,米,70,239,4.3,0.6,1
2022/7/8,夏野菜のカレー,麦,10,33,0.7,0.2,0
