C日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/1/11,あんかけごはん,米,80,274,4.9,0.7,1
2023/1/11,あんかけごはん,油,0.3,3,0,0.3,0
2023/1/11,あんかけごはん,酒,1,1,0,0,0
2023/1/11,あんかけごはん,水,,0,0,0,0
2023/1/11,あんかけごはん,豚肉,35,64,7,4.1,17
2023/1/11,あんかけごはん,ちくわ,5,6,0.6,0.1,42
2023/1/11,あんかけごはん,人参,10,3,0.1,0,3
2023/1/11,あんかけごはん,白菜,60,7,0.5,0.1,3
2023/1/11,あんかけごはん,長ねぎ,10,2,0.1,0,0
2023/1/11,あんかけごはん,しょうが,0.5,0,0,0,0
2023/1/11,あんかけごはん,油,1,9,0,1,0
2023/1/11,あんかけごはん,干し椎茸,0.5,1,0.1,0,0
2023/1/11,あんかけごはん,小松菜,10,1,0.2,0,2
2023/1/11,あんかけごはん,かつお節,1,0,0,0,0
2023/1/11,あんかけごはん,水,20,0,0,0,0
2023/1/11,あんかけごはん,塩,0.5,0,0,0,195
2023/1/11,あんかけごはん,しょうゆ,3.2,2,0.2,0,182
2023/1/11,あんかけごはん,さとう,0.3,1,0,0,0
2023/1/11,あんかけごはん,オイスターソース,0.5,1,0,0,23
2023/1/11,あんかけごはん,片栗粉,3.5,12,0,0,0
2023/1/11,あんかけごはん,水,,0,0,0,0
2023/1/11,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/11,おしるこ,小豆,20,61,4.2,0.4,0
2023/1/11,おしるこ,さとう,10,39,0,0,0
2023/1/11,おしるこ,塩,0.18,0,0,0,70
2023/1/11,おしるこ,水,80,0,0,0,0
2023/1/11,おしるこ,白玉もち,20,39,0.7,0.1,1
2023/1/12,麦ごはん,米,70,239,4.3,0.6,1
2023/1/12,麦ごはん,麦,10,33,0.7,0.2,0
2023/1/12,麦ごはん,油,0.3,3,0,0.3,0
2023/1/12,麦ごはん,酒,1,1,0,0,0
2023/1/12,麦ごはん,水,,0,0,0,0
2023/1/12,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/12,肉じゃが,豚肉,40,73,8,4.7,20
2023/1/12,肉じゃが,人参,15,4,0.1,0,5
2023/1/12,肉じゃが,玉ねぎ,40,12,0.4,0,1
2023/1/12,肉じゃが,じゃがいも,90,48,1.5,0.1,1
2023/1/12,肉じゃが,油,1.2,11,0,1.2,0
2023/1/12,肉じゃが,グリンピース,3,2,0.2,0,0
2023/1/12,肉じゃが,さとう,4.5,18,0,0,0
2023/1/12,肉じゃが,しょうゆ,7,5,0.5,0,399
2023/1/12,肉じゃが,みりん,1,2,0,0,0
2023/1/12,しょうがあえ,キャベツ,35,6,0.4,0.1,1
2023/1/12,しょうがあえ,もやし,20,3,0.3,0,0
2023/1/12,しょうがあえ,しょうが,0.8,0,0,0,0
2023/1/12,しょうがあえ,小松菜,10,1,0.2,0,2
2023/1/12,しょうがあえ,しょうゆ,2.6,2,0.2,0,148
2023/1/12,味付けおかか,味付けおかか,4,10,1.2,0.1,148
2023/1/13,たきこみごはん,米,60,205,3.7,0.5,1
2023/1/13,たきこみごはん,麦,5,17,0.4,0.1,0
2023/1/13,たきこみごはん,もち米,5,17,0.3,0.1,0
2023/1/13,たきこみごはん,酒,0.8,1,0,0,0
2023/1/13,たきこみごはん,水,,0,0,0,0
2023/1/13,たきこみごはん,豚肉,15,27,3,1.8,7
2023/1/13,たきこみごはん,人参,10,3,0.1,0,3
2023/1/13,たきこみごはん,干し椎茸,0.6,2,0.1,0,0
2023/1/13,たきこみごはん,さとう,0.7,3,0,0,0
2023/1/13,たきこみごはん,しょうゆ,5,4,0.4,0,285
2023/1/13,たきこみごはん,塩,0.2,0,0,0,78
2023/1/13,たきこみごはん,水,,0,0,0,0
2023/1/13,たきこみごはん,グリンピース,3,2,0.2,0,0
2023/1/13,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/13,とり肉のゆず塩揚げ,鶏肉,60,97,11.4,6.1,31
2023/1/13,とり肉のゆず塩揚げ,みりん,1,2,0,0,0
2023/1/13,とり肉のゆず塩揚げ,塩,0.4,0,0,0,156
2023/1/13,とり肉のゆず塩揚げ,ゆず果汁,1.5,0,0,0,0
2023/1/13,とり肉のゆず塩揚げ,こしょう,0.03,0,0,0,0
2023/1/13,とり肉のゆず塩揚げ,にんにく,0.08,0,0,0,0
2023/1/13,とり肉のゆず塩揚げ,片栗粉,10,34,0,0,0
2023/1/13,とり肉のゆず塩揚げ,油,35,21,0,2.4,0
2023/1/13,ごまみそあえ,もやし,45,7,0.7,0,1
2023/1/13,ごまみそあえ,人参,5,1,0,0,2
2023/1/13,ごまみそあえ,小松菜,15,2,0.2,0,2
2023/1/13,ごまみそあえ,白ごま,1.6,10,0.3,1,0
2023/1/13,ごまみそあえ,さとう,1.7,7,0,0,0
2023/1/13,ごまみそあえ,白みそ,2,4,0.3,0.1,98
2023/1/13,ごまみそあえ,しょうゆ,1,1,0.1,0,57
2023/1/16,ソフトフランス,ソフトフランス,50,217,7,3.8,351
2023/1/16,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/16,揚げじゃがいものそぼろ煮,じゃがいも,140,74,2.3,0.1,1
2023/1/16,揚げじゃがいものそぼろ煮,油,35,37,0,4.2,0
2023/1/16,揚げじゃがいものそぼろ煮,豚ひき肉,35,64,7,4.1,17
2023/1/16,揚げじゃがいものそぼろ煮,さとう,4.5,18,0,0,0
2023/1/16,揚げじゃがいものそぼろ煮,しょうゆ,4.5,3,0.3,0,257
2023/1/16,揚げじゃがいものそぼろ煮,酒,0.5,1,0,0,0
2023/1/16,揚げじゃがいものそぼろ煮,片栗粉,1,3,0,0,0
2023/1/16,揚げじゃがいものそぼろ煮,水,,0,0,0,0
2023/1/16,野菜スープ,人参,5,1,0,0,2
2023/1/16,野菜スープ,玉ねぎ,20,6,0.2,0,0
2023/1/16,野菜スープ,キャベツ,30,5,0.3,0.1,1
2023/1/16,野菜スープ,干し椎茸,0.5,1,0.1,0,0
2023/1/16,野菜スープ,ベーコン,2,8,0.3,0.8,16
2023/1/16,野菜スープ,ほうれん草,15,3,0.4,0,17
2023/1/16,野菜スープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2023/1/16,野菜スープ,塩,0.8,0,0,0,312
2023/1/16,野菜スープ,こしょう,0.03,0,0,0,0
2023/1/16,野菜スープ,しょうゆ,1.5,1,0.1,0,86
2023/1/16,野菜スープ,水,120～130,0,0,0,0
2023/1/16,チーズ,ベビーチーズ（鉄）,15,47,2.7,3.7,197
2023/1/17,牛すき丼,米（委託炊飯）,80,274,4.9,0.7,1
2023/1/17,牛すき丼,牛肉,40,78,7.8,5.3,20
2023/1/17,牛すき丼,凍り豆腐,6,30,3,2,26
2023/1/17,牛すき丼,しらたき,30,2,0.1,0,3
2023/1/17,牛すき丼,長ねぎ,10,2,0.1,0,0
2023/1/17,牛すき丼,白菜,50,6,0.4,0,3
2023/1/17,牛すき丼,油,1.2,11,0,1.2,0
2023/1/17,牛すき丼,さとう,3.4,13,0,0,0
2023/1/17,牛すき丼,しょうゆ,7,5,0.5,0,399
2023/1/17,牛すき丼,酒,1,1,0,0,0
2023/1/17,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/17,白玉雑煮,鶏肉,20,32,3.8,2,10
2023/1/17,白玉雑煮,人参,15,4,0.1,0,5
2023/1/17,白玉雑煮,大根,20,3,0.1,0,3
2023/1/17,白玉雑煮,干し椎茸,0.5,1,0.1,0,0
