B日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/10/2,かた焼きそば,蒸し麺,40,144,4.4,1.2,128
2023/10/2,かた焼きそば,油,35,53,0,6,0
2023/10/2,かた焼きそば,豚肉,35,64,7,4.1,17
2023/10/2,かた焼きそば,人参,10,3,0.1,0,3
2023/10/2,かた焼きそば,玉ねぎ,35,11,0.3,0,1
2023/10/2,かた焼きそば,もやし,25,4,0.4,0,0
2023/10/2,かた焼きそば,白菜,50,6,0.4,0,3
2023/10/2,かた焼きそば,小松菜,10,1,0.2,0,2
2023/10/2,かた焼きそば,干し椎茸,0.8,2,0.2,0,0
2023/10/2,かた焼きそば,油,1,9,0,1,0
2023/10/2,かた焼きそば,グリンピース,3,2,0.2,0,0
2023/10/2,かた焼きそば,濃縮スープ（ポーク）,3,2,0.1,0.1,2
2023/10/2,かた焼きそば,さとう,0.5,2,0,0,0
2023/10/2,かた焼きそば,塩,0.6,0,0,0,234
2023/10/2,かた焼きそば,こしょう,0.04,0,0,0,0
2023/10/2,かた焼きそば,しょうゆ,4,3,0.3,0,228
2023/10/2,かた焼きそば,酢,1.8,1,0,0,0
2023/10/2,かた焼きそば,片栗粉,5,17,0,0,0
2023/10/2,かた焼きそば,水,50～60,0,0,0,0
2023/10/2,牛乳,牛乳,206,126,6.8,7.8,84
2023/10/2,フルーツ白玉,白玉もち,24,46,0.9,0.1,1
2023/10/2,フルーツ白玉,みかん缶,30,19,0.2,0,1
2023/10/2,フルーツ白玉,パイン缶,15,11,0.1,0,0
2023/10/2,フルーツ白玉,りんご缶,25,20,0.1,0,1
2023/10/2,フルーツ白玉,かんづめの汁,30,19,0.1,0,1
2023/10/3,ソフトフランス,ソフトフランス,50,214,6.9,3.9,350
2023/10/3,牛乳,牛乳,206,126,6.8,7.8,84
2023/10/3,ハンバーグ,豚ひき肉,60,109,12,7,29
2023/10/3,ハンバーグ,玉ねぎ,15,5,0.1,0,0
2023/10/3,ハンバーグ,卵,8,10,0.8,0.7,10
2023/10/3,ハンバーグ,パン粉,6,22,0.9,0.4,28
2023/10/3,ハンバーグ,調理用牛乳,10,6,0.3,0.4,4
2023/10/3,ハンバーグ,塩,0.4,0,0,0,156
2023/10/3,ハンバーグ,こしょう,0.03,0,0,0,0
2023/10/3,ハンバーグ,ナツメグ,0.01,0,0,0,0
2023/10/3,ハンバーグ,トマトケチャップ,4,4,0.1,0,48
2023/10/3,ハンバーグ,中濃ソース,2.5,3,0,0,58
2023/10/3,もち麦と野菜のスープ,もち麦,8,27,0.9,0.2,0
2023/10/3,もち麦と野菜のスープ,鶏肉,15,24,2.9,1.5,8
2023/10/3,もち麦と野菜のスープ,人参,10,3,0.1,0,3
2023/10/3,もち麦と野菜のスープ,玉ねぎ,15,5,0.1,0,0
2023/10/3,もち麦と野菜のスープ,じゃがいも,15,8,0.2,0,0
2023/10/3,もち麦と野菜のスープ,ホールコーン,10,8,0.2,0.1,21
2023/10/3,もち麦と野菜のスープ,キャベツ,20,4,0.2,0,1
2023/10/3,もち麦と野菜のスープ,塩,0.9,0,0,0,351
2023/10/3,もち麦と野菜のスープ,こしょう,0.03,0,0,0,0
2023/10/3,もち麦と野菜のスープ,乾燥パセリ,0.03,0,0,0,0
2023/10/3,もち麦と野菜のスープ,濃縮スープ（チキン）,5,1,0.2,0,4
2023/10/3,もち麦と野菜のスープ,水,120～130,0,0,0,0
2023/10/4,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2023/10/4,牛乳,牛乳,206,126,6.8,7.8,84
2023/10/4,あじの南蛮漬け,あじ,35,39,6.9,1.6,46
2023/10/4,あじの南蛮漬け,酒,0.7,1,0,0,0
2023/10/4,あじの南蛮漬け,片栗粉,8,27,0,0,0
2023/10/4,あじの南蛮漬け,油,35,22,0,2.5,0
2023/10/4,あじの南蛮漬け,人参,5,1,0,0,2
2023/10/4,あじの南蛮漬け,玉ねぎ,10,3,0.1,0,0
2023/10/4,あじの南蛮漬け,干し椎茸,0.2,1,0,0,0
2023/10/4,あじの南蛮漬け,さとう,1.8,7,0,0,0
2023/10/4,あじの南蛮漬け,しょうゆ,3.5,3,0.3,0,200
2023/10/4,あじの南蛮漬け,一味とうがらし,0.01,0,0,0,0
2023/10/4,あじの南蛮漬け,酢,3.5,2,0,0,0
