B日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）,,,,,,,,,
2023/11/1,黒パン,黒パン,50,236,7.1,3.8,358,,,,,,,,,
2023/11/1,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/1,はやし煮,豚肉,40,73,8,4.7,20,,,,,,,,,
2023/11/1,はやし煮,人参,12,3,0.1,0,4,,,,,,,,,
2023/11/1,はやし煮,玉ねぎ,40,12,0.4,0,1,,,,,,,,,
2023/11/1,はやし煮,じゃがいも,70,37,1.1,0.1,1,,,,,,,,,
2023/11/1,はやし煮,油,1,9,0,1,0,,,,,,,,,
2023/11/1,はやし煮,グリンピース,3,2,0.2,0,0,,,,,,,,,
2023/11/1,はやし煮,油,2,18,0,2,0,,,,,,,,,
2023/11/1,はやし煮,小麦粉,3,10,0.2,0,0,,,,,,,,,
2023/11/1,はやし煮,濃縮スープ（ポーク）,3,2,0.1,0.1,2,,,,,,,,,
2023/11/1,はやし煮,トマトケチャップ,12,13,0.2,0,144,,,,,,,,,
2023/11/1,はやし煮,中濃ソース,3.5,5,0,0,81,,,,,,,,,
2023/11/1,はやし煮,さとう,0.5,2,0,0,0,,,,,,,,,
2023/11/1,はやし煮,塩,0.75,0,0,0,293,,,,,,,,,
2023/11/1,はやし煮,こしょう,0.03,0,0,0,0,,,,,,,,,
2023/11/1,はやし煮,ナツメグ,0.01,0,0,0,0,,,,,,,,,
2023/11/1,はやし煮,赤ワイン,1,1,0,0,0,,,,,,,,,
2023/11/1,はやし煮,ローリエ,0.01,0,0,0,0,,,,,,,,,
2023/11/1,はやし煮,水,40～60,0,0,0,0,,,,,,,,,
2023/11/1,フレンチサラダ,キャベツ,43,8,0.5,0.1,2,,,,,,,,,
2023/11/1,フレンチサラダ,人参,5,1,0,0,2,,,,,,,,,
2023/11/1,フレンチサラダ,きゅうり,7,1,0.1,0,0,,,,,,,,,
2023/11/1,フレンチサラダ,さとう,0.5,2,0,0,0,,,,,,,,,
2023/11/1,フレンチサラダ,塩,0.27,0,0,0,105,,,,,,,,,
2023/11/1,フレンチサラダ,酢,1.7,1,0,0,0,,,,,,,,,
2023/11/1,フレンチサラダ,こしょう,0.03,0,0,0,0,,,,,,,,,
2023/11/1,フレンチサラダ,からし粉,0.1,0,0,0,0,,,,,,,,,
