B日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/4/12,カレーライス,米,70,239,4.3,0.6,1
2023/4/12,カレーライス,麦,10,33,0.7,0.2,0
2023/4/12,カレーライス,油,0.3,3,0,0.3,0
2023/4/12,カレーライス,酒,1,1,0,0,0
2023/4/12,カレーライス,水,,0,0,0,0
2023/4/12,カレーライス,豚肉,40,73,8,4.7,20
2023/4/12,カレーライス,人参,15,4,0.1,0,5
2023/4/12,カレーライス,じゃがいも,40,21,0.6,0,0
2023/4/12,カレーライス,玉ねぎ,50,16,0.5,0,1
2023/4/12,カレーライス,にんにく,0.1,0,0,0,0
2023/4/12,カレーライス,しょうが,0.2,0,0,0,0
2023/4/12,カレーライス,油,1,9,0,1,0
2023/4/12,カレーライス,油,6,53,0,6,0
2023/4/12,カレーライス,小麦粉,6,21,0.5,0.1,0
2023/4/12,カレーライス,カレー粉,1,3,0.1,0.1,0
2023/4/12,カレーライス,濃縮スープ（ポーク）,2,1,0.1,0.1,2
2023/4/12,カレーライス,塩,0.75,0,0,0,293
2023/4/12,カレーライス,トマトケチャップ,2,2,0,0,24
2023/4/12,カレーライス,ウスターソース,2.5,3,0,0,83
2023/4/12,カレーライス,しょうゆ,1.6,1,0.1,0,91
2023/4/12,カレーライス,ローリエ,0.01,0,0,0,0
2023/4/12,カレーライス,水,70～80,0,0,0,0
2023/4/12,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/12,わかめサラダ,わかめ,1,2,0.2,0,36
2023/4/12,わかめサラダ,キャベツ,45,8,0.5,0.1,2
2023/4/12,わかめサラダ,人参,5,1,0,0,2
2023/4/12,わかめサラダ,しょうゆ,3,2,0.2,0,171
2023/4/12,わかめサラダ,サラダ油,2,18,0,2,0
2023/4/13,麦ごはん,米,70,239,4.3,0.6,1
2023/4/13,麦ごはん,麦,10,33,0.7,0.2,0
2023/4/13,麦ごはん,油,0.3,3,0,0.3,0
2023/4/13,麦ごはん,酒,1,1,0,0,0
2023/4/13,麦ごはん,水,,0,0,0,0
2023/4/13,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/13,豚肉のみそ炒め,豚肉,60,109,12,7,29
2023/4/13,豚肉のみそ炒め,玉ねぎ,40,12,0.4,0,1
2023/4/13,豚肉のみそ炒め,しょうが,0.5,0,0,0,0
2023/4/13,豚肉のみそ炒め,にんにく,0.1,0,0,0,0
2023/4/13,豚肉のみそ炒め,油,1,9,0,1,0
2023/4/13,豚肉のみそ炒め,トック,17,39,0.7,0.1,20
2023/4/13,豚肉のみそ炒め,酒,1.2,1,0,0,0
2023/4/13,豚肉のみそ炒め,さとう,3,12,0,0,0
2023/4/13,豚肉のみそ炒め,赤みそ,4.2,7,0.6,0.2,214
2023/4/13,豚肉のみそ炒め,しょうゆ,1.8,1,0.1,0,103
2023/4/13,豚肉のみそ炒め,豆板醤,0.12,0,0,0,8
2023/4/13,豚肉のみそ炒め,片栗粉,0.4,1,0,0,0
2023/4/13,豚肉のみそ炒め,水,1.2,0,0,0,0
2023/4/13,おひたし,キャベツ,50,9,0.6,0.1,2
2023/4/13,おひたし,人参,5,1,0,0,2
2023/4/13,おひたし,小松菜,15,2,0.2,0,2
2023/4/13,おひたし,しょうゆ,3,2,0.2,0,171
2023/4/14,ミートソーススパゲッティ,スパゲッティ,60,208,7.7,1.1,1
2023/4/14,ミートソーススパゲッティ,塩,1.2,0,0,0,0
2023/4/14,ミートソーススパゲッティ,サラダ油,3,12,0,1.3,0
2023/4/14,ミートソーススパゲッティ,豚ひき肉,45,82,9,5.3,22
2023/4/14,ミートソーススパゲッティ,大豆ミート,4.5,16,2.1,0.1,0
2023/4/14,ミートソーススパゲッティ,人参,10,3,0.1,0,3
2023/4/14,ミートソーススパゲッティ,玉ねぎ,50,16,0.5,0,1
2023/4/14,ミートソーススパゲッティ,油,1,9,0,1,0
2023/4/14,ミートソーススパゲッティ,グリンピース,3,2,0.2,0,0
2023/4/14,ミートソーススパゲッティ,トマトケチャップ,14,15,0.2,0,168
2023/4/14,ミートソーススパゲッティ,トマトピューレ,14,6,0.3,0,3
2023/4/14,ミートソーススパゲッティ,中濃ソース,8,11,0.1,0,184
2023/4/14,ミートソーススパゲッティ,さとう,1,4,0,0,0
2023/4/14,ミートソーススパゲッティ,塩,0.4,0,0,0,156
2023/4/14,ミートソーススパゲッティ,こしょう,0.03,0,0,0,0
2023/4/14,ミートソーススパゲッティ,ナツメグ,0.01,0,0,0,0
2023/4/14,ミートソーススパゲッティ,ローリエ,0.02,0,0,0,0
2023/4/14,ミートソーススパゲッティ,水,50～60,0,0,0,0
