C日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/6/1,ツナそぼろごはん,米（委託炊飯）,80,274,4.9,0.7,1
2023/6/1,ツナそぼろごはん,ツナ,55,146,9.7,11.9,187
2023/6/1,ツナそぼろごはん,凍り豆腐,6,30,3,2,26
2023/6/1,ツナそぼろごはん,人参,10,3,0.1,0,3
2023/6/1,ツナそぼろごはん,しょうが,0.7,0,0,0,0
2023/6/1,ツナそぼろごはん,しょうゆ,3.9,3,0.3,0,222
2023/6/1,ツナそぼろごはん,さとう,2.6,10,0,0,0
2023/6/1,ツナそぼろごはん,酒,1.5,2,0,0,0
2023/6/1,ツナそぼろごはん,みりん,0.8,2,0,0,0
2023/6/1,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/1,みそワンタン,ウェーブワンタン,8,28,0.9,0.1,12
2023/6/1,みそワンタン,豚肉,20,36,4,2.3,10
2023/6/1,みそワンタン,人参,10,3,0.1,0,3
2023/6/1,みそワンタン,キャベツ,12,2,0.1,0,1
2023/6/1,みそワンタン,もやし,30,4,0.5,0,1
2023/6/1,みそワンタン,にんにく,0.2,0,0,0,0
2023/6/1,みそワンタン,しょうが,0.2,0,0,0,0
2023/6/1,みそワンタン,油,0.5,4,0,0.5,0
2023/6/1,みそワンタン,小松菜,8,1,0.1,0,1
2023/6/1,みそワンタン,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2023/6/1,みそワンタン,しょうゆ,1.5,1,0.1,0,86
2023/6/1,みそワンタン,酒,1,1,0,0,0
2023/6/1,みそワンタン,赤みそ,7,12,0.9,0.4,357
2023/6/1,みそワンタン,水,100～120,0,0,0,0
2023/6/1,みそワンタン,ごま油,0.5,4,0,0.5,0
2023/6/2,麦ごはん,米,70,239,4.3,0.6,1
2023/6/2,麦ごはん,麦,10,33,0.7,0.2,0
2023/6/2,麦ごはん,油,0.3,3,0,0.3,0
2023/6/2,麦ごはん,酒,1,1,0,0,0
2023/6/2,麦ごはん,水,,0,0,0,0
2023/6/2,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/2,肉じゃが,豚肉,40,73,8,4.7,20
2023/6/2,肉じゃが,人参,15,4,0.1,0,5
2023/6/2,肉じゃが,玉ねぎ,30,9,0.3,0,1
2023/6/2,肉じゃが,じゃがいも,85,45,1.4,0.1,1
2023/6/2,肉じゃが,油,1.2,11,0,1.2,0
2023/6/2,肉じゃが,グリンピース,2,2,0.1,0,0
2023/6/2,肉じゃが,さとう,4.5,18,0,0,0
2023/6/2,肉じゃが,しょうゆ,6.5,5,0.5,0,371
2023/6/2,肉じゃが,みりん,1,2,0,0,0
2023/6/2,しょうがあえ,キャベツ,35,6,0.4,0.1,1
2023/6/2,しょうがあえ,もやし,20,3,0.3,0,0
2023/6/2,しょうがあえ,しょうが,0.8,0,0,0,0
2023/6/2,しょうがあえ,小松菜,10,1,0.2,0,2
2023/6/2,しょうがあえ,しょうゆ,2.6,2,0.2,0,148
2023/6/5,ベイスターズ青星寮カレー,米,70,239,4.3,0.6,1
2023/6/5,ベイスターズ青星寮カレー,麦,10,33,0.7,0.2,0
2023/6/5,ベイスターズ青星寮カレー,油,0.3,3,0,0.3,0
2023/6/5,ベイスターズ青星寮カレー,酒,1,1,0,0,0
2023/6/5,ベイスターズ青星寮カレー,水,,0,0,0,0
2023/6/5,ベイスターズ青星寮カレー,豚肉,50,86,10.3,5.1,24
2023/6/5,ベイスターズ青星寮カレー,赤ワイン,3,2,0,0,0
2023/6/5,ベイスターズ青星寮カレー,人参,20,5,0.1,0,6
2023/6/5,ベイスターズ青星寮カレー,にんにく,0.1,0,0,0,0
2023/6/5,ベイスターズ青星寮カレー,しょうが,0.2,0,0,0,0
2023/6/5,ベイスターズ青星寮カレー,油,0.8,7,0,0.8,0
2023/6/5,ベイスターズ青星寮カレー,油,5,44,0,5,0
2023/6/5,ベイスターズ青星寮カレー,バター,1,7,0,0.8,8
2023/6/5,ベイスターズ青星寮カレー,小麦粉,6,21,0.5,0.1,0
2023/6/5,ベイスターズ青星寮カレー,カレー粉,1,3,0.1,0.1,0
2023/6/5,ベイスターズ青星寮カレー,クミン,0.3,1,0.1,0.1,1
2023/6/5,ベイスターズ青星寮カレー,玉ねぎ,40,12,0.4,0,1
2023/6/5,ベイスターズ青星寮カレー,炒め玉ねぎ,15,27,0.5,1,1
2023/6/5,ベイスターズ青星寮カレー,濃縮スープ（ポーク）,2,1,0.1,0.1,2
2023/6/5,ベイスターズ青星寮カレー,ウスターソース,3,4,0,0,99
2023/6/5,ベイスターズ青星寮カレー,中濃ソース,2,3,0,0,46
2023/6/5,ベイスターズ青星寮カレー,トマトケチャップ,2,2,0,0,24
2023/6/5,ベイスターズ青星寮カレー,塩,1,0,0,0,390
2023/6/5,ベイスターズ青星寮カレー,しょうゆ,1,1,0.1,0,57
2023/6/5,ベイスターズ青星寮カレー,さとう,0.2,1,0,0,0
2023/6/5,ベイスターズ青星寮カレー,ローリエ,0.01,0,0,0,0
2023/6/5,ベイスターズ青星寮カレー,水,70～80,0,0,0,0
2023/6/5,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/5,マカロニサラダ,マカロニ,5,17,0.6,0.1,0
2023/6/5,マカロニサラダ,人参,5,1,0,0,2
2023/6/5,マカロニサラダ,キャベツ,40,7,0.4,0.1,2
2023/6/5,マカロニサラダ,ホールコーン,5,4,0.1,0,11
2023/6/5,マカロニサラダ,さとう,0.35,1,0,0,0
2023/6/5,マカロニサラダ,塩,0.24,0,0,0,94
2023/6/5,マカロニサラダ,酢,1,1,0,0,0
2023/6/5,マカロニサラダ,こしょう,0.01,0,0,0,0
2023/6/5,マカロニサラダ,サラダ油,1.3,12,0,1.3,0
2023/6/5,マカロニサラダ,卵ぬきマヨネーズ,4,24,0,2.6,30
2023/6/6,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2023/6/6,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/6,いわしのこはく揚げ,いわし,33.3,52,6.4,3.1,27
2023/6/6,いわしのこはく揚げ,しょうゆ,1.5,1,0.1,0,86
2023/6/6,いわしのこはく揚げ,赤みそ,1,2,0.1,0.1,51
2023/6/6,いわしのこはく揚げ,しょうが,0.7,0,0,0,0
2023/6/6,いわしのこはく揚げ,酒,0.8,1,0,0,0
2023/6/6,いわしのこはく揚げ,片栗粉,12,41,0,0,0
2023/6/6,いわしのこはく揚げ,油,35,20,0,2.3,0
2023/6/6,からしあえ,キャベツ,30,5,0.3,0.1,1
2023/6/6,からしあえ,もやし,20,3,0.3,0,0
2023/6/6,からしあえ,ほうれん草,10,2,0.3,0,11
2023/6/6,からしあえ,しょうゆ,2.4,2,0.2,0,137
2023/6/6,からしあえ,からし粉,0.1,0,0,0,0
2023/6/6,にゅうめん,そうめん,7,23,0.7,0.1,16
2023/6/6,にゅうめん,鶏肉,15,24,2.9,1.5,8
2023/6/6,にゅうめん,冷凍油揚げ,6,25,1.4,2.1,0
2023/6/6,にゅうめん,人参,10,3,0.1,0,3
2023/6/6,にゅうめん,大根,15,2,0.1,0,2
2023/6/6,にゅうめん,長ねぎ,5,1,0,0,0
2023/6/6,にゅうめん,かつお節,1.5,0,0,0,0
2023/6/6,にゅうめん,塩,0.5,0,0,0,195
2023/6/6,にゅうめん,しょうゆ,2.5,2,0.2,0,143
2023/6/6,にゅうめん,みりん,1,2,0,0,0
2023/6/6,にゅうめん,水,130,0,0,0,0
2023/6/7,食パン,食パン,60,245,8.3,4.6,421
2023/6/7,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/7,ポークビーンズ,豚ひき肉,18,33,3.6,2.1,9
2023/6/7,ポークビーンズ,大豆,16,60,5.4,3.2,0
2023/6/7,ポークビーンズ,人参,14,4,0.1,0,4
2023/6/7,ポークビーンズ,玉ねぎ,45,14,0.4,0,1
2023/6/7,ポークビーンズ,にんにく,0.1,0,0,0,0
2023/6/7,ポークビーンズ,油,0.6,5,0,0.6,0
2023/6/7,ポークビーンズ,ダイストマト,32,7,0.3,0.1,1
2023/6/7,ポークビーンズ,シェルマカロニ,9,31,1.2,0.2,0
2023/6/7,ポークビーンズ,小麦粉,1.8,6,0.1,0,0
2023/6/7,ポークビーンズ,トマトケチャップ,2.7,3,0,0,32
2023/6/7,ポークビーンズ,中濃ソース,2.3,3,0,0,53
2023/6/7,ポークビーンズ,しょうゆ,0.9,1,0.1,0,51
2023/6/7,ポークビーンズ,赤ワイン,1.4,1,0,0,0
2023/6/7,ポークビーンズ,塩,0.45,0,0,0,176
2023/6/7,ポークビーンズ,こしょう,0.02,0,0,0,0
2023/6/7,ポークビーンズ,チリパウダー,0.15,1,0,0,4
2023/6/7,いろどりスープ,ベーコン,2,8,0.3,0.8,16
2023/6/7,いろどりスープ,人参,5,1,0,0,2
2023/6/7,いろどりスープ,キャベツ,15,3,0.2,0,1
2023/6/7,いろどりスープ,小松菜,7,1,0.1,0,1
2023/6/7,いろどりスープ,ホールコーン,10,8,0.2,0.1,21
2023/6/7,いろどりスープ,わかめ,0.3,1,0.1,0,11
2023/6/7,いろどりスープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2023/6/7,いろどりスープ,しょうゆ,1,1,0.1,0,57
2023/6/7,いろどりスープ,塩,0.9,0,0,0,351
2023/6/7,いろどりスープ,片栗粉,1.5,5,0,0,0
2023/6/7,いろどりスープ,水,120～130,0,0,0,0
2023/6/7,ジャム,りんごジャム,15,30,0,0,1
2023/6/8,ガパオライス,米,70,239,4.3,0.6,1
2023/6/8,ガパオライス,麦,10,33,0.7,0.2,0
2023/6/8,ガパオライス,油,0.3,3,0,0.3,0
2023/6/8,ガパオライス,酒,1,1,0,0,0
2023/6/8,ガパオライス,水,,0,0,0,0
2023/6/8,ガパオライス,豚ひき肉,45,82,9,5.3,22
2023/6/8,ガパオライス,大豆ミート,6.5,23,3,0.2,0
2023/6/8,ガパオライス,玉ねぎ,30,9,0.3,0,1
2023/6/8,ガパオライス,ピーマン,5,1,0,0,0
2023/6/8,ガパオライス,にんにく,0.5,1,0,0,0
2023/6/8,ガパオライス,油,1,9,0,1,0
2023/6/8,ガパオライス,しょうゆ,3,2,0.2,0,171
2023/6/8,ガパオライス,オイスターソース,1.5,2,0.1,0,68
2023/6/8,ガパオライス,酒,0.5,1,0,0,0
2023/6/8,ガパオライス,みりん,0.5,1,0,0,0
2023/6/8,ガパオライス,さとう,0.3,1,0,0,0
2023/6/8,ガパオライス,豆板醤,0.2,0,0,0,14
2023/6/8,ガパオライス,塩,0.3,0,0,0,117
2023/6/8,ガパオライス,こしょう,0.01,0,0,0,0
2023/6/8,ガパオライス,乾燥バジル,0.06,0,0,0,0
2023/6/8,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/8,春雨サラダ,緑豆春雨,5,17,0,0,1
2023/6/8,春雨サラダ,人参,5,1,0,0,2
2023/6/8,春雨サラダ,キャベツ,25,4,0.3,0,1
2023/6/8,春雨サラダ,ほうれん草,10,2,0.3,0,11
2023/6/8,春雨サラダ,さとう,0.5,2,0,0,0
2023/6/8,春雨サラダ,しょうゆ,2.3,2,0.2,0,131
2023/6/8,春雨サラダ,酢,3,2,0,0,0
2023/6/8,春雨サラダ,ごま油,0.5,4,0,0.5,0
2023/6/8,春雨サラダ,からし粉,0.1,0,0,0,0
2023/6/8,春雨サラダ,サラダ油,2,18,0,2,0
